class_id,class_name,annotation_rows,unique_images,row_percent,image_percent
0,Aortic enlargement,5481,2365,11.934676102340774,27.586609121661027
1,Atelectasis,255,167,0.5552531301034295,1.9479762043625333
2,Calcification,851,385,1.8530212302667393,4.490843345386679
3,Cardiomegaly,4046,1746,8.810016330974415,20.366266184532837
4,Consolidation,519,325,1.1301034295046273,3.7909716551965476
5,ILD,904,341,1.9684267827980402,3.9776041059139158
6,Infiltration,1097,532,2.388677191072401,6.205528986352502
7,Lung Opacity,2188,1132,4.764289602612956,13.204245888253821
8,Nodule/Mass,2324,705,5.060424605334785,8.223492359734049
9,Other lesion,1945,965,4.2351660315732165,11.256269683891286
10,Pleural effusion,2190,909,4.768644529123571,10.603056106380498
11,Pleural thickening,4308,1689,9.380511703864999,19.70138807885221
12,Pneumothorax,195,79,0.4246053347849755,0.9214977254170069
13,Pulmonary fibrosis,4097,1388,8.921066956995102,16.190365099731714
14,No finding,15525,5175,33.805117038649975,60.36393327889888
